CaF2 AR coating: spectral data (per surface)							
							
	R at 0 deg	R at 20 deg	R at 30 deg		T at 0 deg	T at 20 deg	T at 30 deg
457	0.41743	0.29796	0.30856		99.49653	99.61519	99.60371
458	0.41289	0.29397	0.31296		99.50585	99.62402	99.60418
459	0.40805	0.29017	0.31811		99.51546	99.63261	99.60388
460	0.40295	0.28663	0.32401		99.52529	99.64093	99.6028
461	0.39673	0.28267	0.33018		99.53218	99.64557	99.59731
462	0.39036	0.27906	0.33714		99.53921	99.64985	99.59103
463	0.38389	0.27583	0.34488		99.54634	99.65374	99.58397
464	0.37737	0.27303	0.35342		99.55353	99.65721	99.5761
465	0.37082	0.27068	0.36273		99.56073	99.66021	99.56745
466	0.3643	0.26882	0.37282		99.5679	99.66273	99.55803
467	0.35785	0.26747	0.38366		99.575	99.66473	99.54785
468	0.35151	0.26666	0.39524		99.58199	99.6662	99.53693
469	0.34531	0.26641	0.40754		99.58883	99.6671	99.52528
470	0.33931	0.26673	0.42053		99.59547	99.66743	99.51295
471	0.33353	0.26764	0.43417		99.60189	99.66715	99.49996
472	0.328	0.26915	0.44844		99.60806	99.66628	99.48634
473	0.32277	0.27126	0.46331		99.61391	99.66481	99.47212
474	0.31785	0.27399	0.47872		99.61946	99.66271	99.45735
475	0.31328	0.27732	0.49464		99.62465	99.66001	99.44207
476	0.30909	0.28126	0.51103		99.62947	99.6567	99.42632
477	0.30529	0.2858	0.52783		99.63388	99.65279	99.41015
478	0.3019	0.29093	0.54501		99.63789	99.64827	99.3936
479	0.29895	0.29664	0.56251		99.64145	99.64318	99.37673
480	0.29645	0.30292	0.58028		99.64456	99.63753	99.35959
481	0.29441	0.30973	0.59826		99.64721	99.63132	99.34222
482	0.29283	0.31707	0.61642		99.64939	99.6246	99.32469
483	0.29173	0.32491	0.63468		99.65109	99.61737	99.30704
484	0.29111	0.33322	0.653		99.65231	99.60966	99.28934
485	0.29096	0.34198	0.67132		99.65306	99.60152	99.27164
486	0.2913	0.35115	0.68959		99.65332	99.59294	99.25397
487	0.29201	0.36066	0.70781		99.65321	99.58403	99.23636
488	0.29319	0.37053	0.7259		99.65261	99.57475	99.21887
489	0.29483	0.38073	0.74379		99.65156	99.56515	99.20158
490	0.29692	0.39123	0.76143		99.65004	99.55524	99.18454
491	0.29945	0.40198	0.77878		99.64809	99.54508	99.16779
492	0.30241	0.41294	0.79577		99.64571	99.5347	99.15138
493	0.30578	0.42409	0.81238		99.64293	99.52414	99.13537
494	0.30954	0.43538	0.82854		99.63974	99.51344	99.1198
495	0.31366	0.44677	0.84421		99.63618	99.50262	99.10471
496	0.31814	0.45821	0.85935		99.63228	99.49175	99.09015
497	0.32294	0.46968	0.87392		99.62805	99.48086	99.07616
498	0.32803	0.48113	0.88788		99.62351	99.46998	99.06277
499	0.33341	0.49253	0.9012		99.61871	99.45915	99.05003
500	0.33903	0.50382	0.91383		99.61365	99.44843	99.03797
501	0.34497	0.51494	0.92555		99.60825	99.43787	99.02682
502	0.3511	0.52586	0.93653		99.60268	99.42751	99.01641
503	0.35736	0.53656	0.94673		99.59698	99.41737	99.00677
504	0.36374	0.54701	0.95614		99.59116	99.40748	98.99792
505	0.3702	0.55715	0.96474		99.58524	99.39789	98.98988
506	0.37671	0.56698	0.97251		99.57927	99.38861	98.98266
507	0.38325	0.57644	0.97943		99.57327	99.37969	98.97629
508	0.38978	0.58552	0.9855		99.56728	99.37116	98.97078
509	0.39628	0.59419	0.99071		99.56133	99.36304	98.96612
510	0.40272	0.60242	0.99504		99.55543	99.35535	98.96233
511	0.40906	0.61019	0.9985		99.54961	99.34812	98.95941
512	0.41528	0.61747	1.00109		99.54392	99.34138	98.95737
513	0.42136	0.62425	1.0028		99.53838	99.33513	98.95619
514	0.42727	0.63051	1.00364		99.533	99.32941	98.95588
515	0.43297	0.63622	1.00363		99.52782	99.32421	98.95643
516	0.43846	0.64139	1.00276		99.52285	99.31958	98.95783
517	0.44371	0.64599	1.00105		99.51813	99.31551	98.96007
518	0.44869	0.65001	0.99851		99.51366	99.312	98.96313
519	0.45339	0.65346	0.99516		99.50948	99.30908	98.967
520	0.45778	0.65631	0.99103		99.5056	99.30675	98.97166
521	0.46185	0.65857	0.98611		99.50204	99.305	98.97709
522	0.46559	0.66024	0.98045		99.49881	99.30384	98.98327
523	0.46898	0.66131	0.97406		99.49593	99.30328	98.99017
524	0.47201	0.66179	0.96697		99.49341	99.30331	98.99778
525	0.47466	0.66168	0.9592		99.49126	99.30393	99.00605
526	0.47693	0.66099	0.95079		99.48949	99.30512	99.01497
527	0.47881	0.65972	0.94176		99.48811	99.30689	99.02451
528	0.48029	0.65788	0.93215		99.48712	99.30923	99.03462
529	0.48137	0.6555	0.92198		99.48653	99.31212	99.04529
530	0.48205	0.65256	0.9113		99.48635	99.31554	99.05647
531	0.48232	0.6491	0.90013		99.48657	99.3195	99.06814
532	0.48218	0.64513	0.88851		99.4872	99.32396	99.08025
533	0.48164	0.64067	0.87647		99.48823	99.32892	99.09279
534	0.48069	0.63572	0.86405		99.48966	99.33435	99.10569
535	0.47935	0.63032	0.85129		99.49149	99.34023	99.11894
536	0.47761	0.62448	0.83822		99.4937	99.34656	99.1325
537	0.47549	0.61823	0.82489		99.49629	99.35329	99.14631
538	0.473	0.61159	0.81132		99.49927	99.36041	99.16037
539	0.47013	0.60457	0.79756		99.5026	99.3679	99.17461
540	0.46692	0.59722	0.78364		99.50629	99.37573	99.18901
541	0.46336	0.58955	0.7696		99.51031	99.38387	99.20353
542	0.45947	0.58158	0.75547		99.51468	99.39231	99.21813
543	0.45527	0.57335	0.74129		99.51934	99.40101	99.23278
544	0.45077	0.56488	0.7271		99.52431	99.40994	99.24745
545	0.44598	0.5562	0.71292		99.52956	99.41909	99.26208
546	0.44093	0.54734	0.69881		99.53506	99.42842	99.27667
547	0.43563	0.53832	0.68478		99.54082	99.4379	99.29117
548	0.43011	0.52917	0.67087		99.5468	99.44751	99.30555
549	0.42437	0.51992	0.65711		99.55299	99.45721	99.31977
550	0.41844	0.5106	0.64353		99.55937	99.467	99.3338
551	0.41233	0.50125	0.63023		99.56593	99.4768	99.34756
552	0.40608	0.49189	0.61717		99.57263	99.48661	99.36108
553	0.39971	0.48255	0.60439		99.57944	99.49641	99.37432
554	0.39324	0.47325	0.59191		99.58636	99.50616	99.38725
555	0.38797	0.4655	0.58123		99.59178	99.51405	99.39807
556	0.38262	0.45777	0.57077		99.59727	99.52192	99.40868
557	0.3772	0.45008	0.56053		99.60284	99.52975	99.41907
558	0.37173	0.44244	0.55053		99.60845	99.53754	99.42921
559	0.36622	0.43487	0.54078		99.61411	99.54525	99.43911
560	0.36069	0.42739	0.53131		99.61977	99.55288	99.44872
561	0.35515	0.42001	0.52212		99.62545	99.56039	99.45805
562	0.34963	0.41276	0.51323		99.63111	99.56779	99.46709
563	0.34412	0.40565	0.50465		99.63676	99.57504	99.47581
564	0.33866	0.39868	0.49638		99.64236	99.58214	99.48421
565	0.33324	0.39189	0.48845		99.64792	99.58907	99.49229
566	0.3279	0.38528	0.48086		99.6534	99.59582	99.50002
567	0.32264	0.37887	0.47362		99.65879	99.60237	99.50741
568	0.31747	0.37267	0.46673		99.6641	99.60872	99.51443
569	0.31242	0.36668	0.46019		99.66929	99.61484	99.52111
570	0.30748	0.36093	0.45402		99.67436	99.62073	99.52742
571	0.30268	0.35543	0.44822		99.67929	99.62637	99.53336
572	0.29803	0.35017	0.44278		99.68407	99.63176	99.53893
573	0.29354	0.34518	0.43772		99.68871	99.63689	99.54414
