CaF2 AR coating: spectral data (per surface)							
							
	R at 0 deg	R at 20 deg	R at 30 deg		T at 0 deg	T at 20 deg	T at 30 deg
787	3.36111	5.17845	7.97846		96.63662	94.81928	92.01928
788	3.46251	5.30801	8.1397		96.53524	94.68974	91.85806
789	3.5656	5.43915	8.3022		96.43217	94.55862	91.69558
790	3.67038	5.57187	8.46594		96.32741	94.42593	91.53185
791	3.77684	5.70613	8.63089		96.22097	94.29167	91.36692
792	3.88496	5.84193	8.79702		96.11286	94.15589	91.20081
793	3.99474	5.97925	8.96431		96.0031	94.01859	91.03354
794	4.10618	6.11806	9.13273		95.89168	93.87979	90.86515
795	4.21925	6.25835	9.30224		95.77862	93.73952	90.69565
796	4.33396	6.4001	9.47282		95.66393	93.59779	90.52509
797	4.45028	6.54329	9.64445		95.54763	93.45462	90.35348
798	4.56822	6.68789	9.81709		95.4297	93.31004	90.18085
799	4.68775	6.83389	9.99071		95.3102	93.16405	90.00725
800	4.80886	6.98127	10.16529		95.1891	93.0167	89.83269

