3665.3	0.026666667	KrI
3679.6	0.033333333	KrI
3773.4	0.016666667	KrI
4319.6	0.333333333	KrI
4351.4	0.033333333	KrI
4362.6	0.166666667	KrI
4376.1	0.266666667	KrI
4400	0.066666667	KrI
4425.2	0.033333333	KrI
4453.9	0.2	KrI
4463.7	0.266666667	KrI
4502.4	0.2	KrI
5490.9	0.016666667	KrI
5500.7	0.016666667	KrI
5562.2	0.166666667	KrI
5570.3	0.666666667	KrI
5580.4	0.026666667	KrI
5649.6	0.033333333	KrI
5672.5	0.016666667	KrI
5832.9	0.033333333	KrI
5870.9	1	KrI
5879.9	0.016666667	KrI
5993.9	0.02	KrI
6012.2	0.016666667	KrI
6056.1	0.02	KrI
6421	0.033333333	KrI
6456.3	0.066666667	KrI
6699.2	0.02	KrI
6813.1	0.016666667	KrI
6904.7	0.033333333	KrI
7224.1	0.033333333	KrI
7289.8	0.026666667	KrI
7425.5	0.02	KrI
7486.1	0.001	KrI
7587.4	0.333333333	KrI
7601.5	0.666666667	KrI
7685.2	0.133333333	KrI
7694.5	0.166666667	KrI
